IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
144.24.188.128,443,443,true,FRA,Europe,DE,Frankfurt,279,7.10
141.147.13.48,443,443,true,FRA,Europe,DE,Frankfurt,314,7.10
138.2.172.97,443,443,true,LAX,North America,US,Los Angeles,369,7.10
130.162.182.43,443,443,true,FRA,Europe,DE,Frankfurt,294,7.09
144.21.48.81,443,443,true,FRA,Europe,DE,Frankfurt,201,7.08
144.21.38.74,443,443,true,ORD,North America,US,Chicago,226,7.08
158.180.35.134,443,443,true,FRA,Europe,DE,Frankfurt,292,7.07
141.147.99.88,443,443,true,FRA,Europe,DE,Frankfurt,226,7.07
150.230.158.88,443,443,true,FRA,Europe,DE,Frankfurt,177,7.06
130.162.59.3,443,443,true,FRA,Europe,DE,Frankfurt,365,7.06
143.47.250.151,443,443,true,FRA,Europe,DE,Frankfurt,252,7.05
138.3.248.105,443,443,true,FRA,Europe,DE,Frankfurt,311,7.04
143.47.230.219,443,443,true,FRA,Europe,DE,Frankfurt,290,7.03
152.67.143.69,443,443,true,FRA,Europe,DE,Frankfurt,382,7.03
158.101.222.208,443,443,true,FRA,Europe,DE,Frankfurt,199,7.01
143.47.225.197,443,443,true,FRA,Europe,DE,Frankfurt,270,6.99
141.144.224.76,443,443,true,FRA,Europe,DE,Frankfurt,242,6.99
84.235.172.130,443,443,true,LAX,North America,US,Los Angeles,244,6.98
144.21.33.223,443,443,true,FRA,Europe,DE,Frankfurt,174,6.95
158.180.19.112,443,443,true,FRA,Europe,DE,Frankfurt,251,6.95
84.235.171.95,443,443,true,DUS,Europe,DE,Düsseldorf,203,6.95
129.159.242.173,443,443,true,FRA,Europe,DE,Frankfurt,357,6.94
79.76.104.87,443,443,true,FRA,Europe,DE,Frankfurt,168,6.93
79.72.65.230,443,443,true,FRA,Europe,DE,Frankfurt,279,6.93
84.8.144.201,443,443,true,SJC,North America,US,San Jose,387,6.93
141.147.108.248,443,443,true,FRA,Europe,DE,Frankfurt,230,6.91
193.123.56.231,443,443,true,FRA,Europe,DE,Frankfurt,337,6.87
79.76.109.105,443,443,true,FRA,Europe,DE,Frankfurt,159,6.87
158.178.150.108,443,443,true,FRA,Europe,DE,Frankfurt,242,6.86
79.72.84.43,443,443,true,FRA,Europe,DE,Frankfurt,303,6.85
193.123.59.222,443,443,true,FRA,Europe,DE,Frankfurt,347,6.84
130.162.222.97,443,443,true,FRA,Europe,DE,Frankfurt,328,6.84
79.72.77.20,443,443,true,FRA,Europe,DE,Frankfurt,277,6.83
84.235.175.131,443,443,true,LAX,North America,US,Los Angeles,283,6.83
150.230.150.80,443,443,true,FRA,Europe,DE,Frankfurt,231,6.82
141.147.116.232,443,443,true,FRA,Europe,DE,Frankfurt,226,6.82
130.162.182.17,443,443,true,FRA,Europe,DE,Frankfurt,278,6.81
40.233.70.7,8443,443,true,YYZ,North America,CA,Toronto,402,6.80
141.144.195.164,443,443,true,DUS,Europe,DE,Düsseldorf,270,6.80
141.144.229.248,443,443,true,FRA,Europe,DE,Frankfurt,213,6.80
130.162.60.57,443,443,true,FRA,Europe,DE,Frankfurt,312,6.79
79.76.120.94,443,443,true,FRA,Europe,DE,Frankfurt,262,6.77
144.24.172.189,443,443,true,FRA,Europe,DE,Frankfurt,253,6.76
144.21.40.224,443,443,true,FRA,Europe,DE,Frankfurt,173,6.74
141.148.245.81,443,443,true,LAX,North America,US,Los Angeles,350,6.73
79.72.78.182,443,443,true,FRA,Europe,DE,Frankfurt,308,6.71
141.144.236.165,443,443,true,FRA,Europe,DE,Frankfurt,255,6.71
143.47.224.99,443,443,true,FRA,Europe,DE,Frankfurt,323,6.71
89.168.105.131,443,443,true,SJC,North America,US,San Jose,299,6.69
138.2.130.108,443,443,true,FRA,Europe,DE,Frankfurt,199,6.69
141.148.224.31,443,443,true,ATL,North America,US,Atlanta,252,6.67
152.70.16.42,443,443,true,FRA,Europe,DE,Frankfurt,288,6.66
141.147.68.227,443,443,true,FRA,Europe,DE,Frankfurt,359,6.64
152.70.52.107,443,443,true,FRA,Europe,DE,Frankfurt,323,6.63
152.70.40.14,443,443,true,FRA,Europe,DE,Frankfurt,351,6.62
144.24.189.219,443,443,true,FRA,Europe,DE,Frankfurt,314,6.62
84.8.155.226,443,443,true,FRA,Europe,DE,Frankfurt,272,6.59
141.147.119.251,443,443,true,FRA,Europe,DE,Frankfurt,291,6.59
152.67.129.93,443,443,true,FRA,Europe,DE,Frankfurt,343,6.58
132.226.198.6,443,443,true,FRA,Europe,DE,Frankfurt,218,6.57
141.147.109.26,443,443,true,FRA,Europe,DE,Frankfurt,208,6.54
141.147.15.66,443,443,true,FRA,Europe,DE,Frankfurt,182,6.54
130.162.186.98,443,443,true,FRA,Europe,DE,Frankfurt,221,6.53
150.230.117.69,443,443,true,FRA,Europe,DE,Frankfurt,200,6.53
152.70.40.200,443,443,true,FRA,Europe,DE,Frankfurt,351,6.51
143.47.255.29,443,443,true,FRA,Europe,DE,Frankfurt,204,6.51
79.72.94.110,443,443,true,FRA,Europe,DE,Frankfurt,271,6.51
132.145.239.249,443,443,true,FRA,Europe,DE,Frankfurt,187,6.48
