IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
4.219.15.140,8443,443,true,CPH,Europe,DK,Copenhagen,194,11.20
20.217.216.51,8443,443,true,VIE,Europe,AT,Vienna,376,11.11
20.91.225.232,8443,443,true,ARN,Europe,SE,Stockholm,295,11.05
20.217.216.51,2053,443,true,VIE,Europe,AT,Vienna,205,10.74
172.191.132.64,443,443,true,IAD,North America,US,Ashburn,246,10.37
20.221.32.145,443,443,true,ORD,North America,US,Chicago,301,10.28
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,244,10.20
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,257,10.13
20.82.142.108,8443,443,true,DUB,Europe,IE,Dublin,227,9.86
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,343,9.82
74.249.233.213,443,443,true,ORD,North America,US,Chicago,202,9.42
40.87.50.39,443,443,true,IAD,North America,US,Ashburn,228,9.03
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,390,9.03
158.23.168.120,443,443,true,DFW,North America,US,Dallas,209,8.94
4.255.56.138,443,443,true,IAD,North America,US,Ashburn,369,8.93
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,368,8.88
20.33.30.36,2083,443,true,LAX,North America,US,Los Angeles,247,8.80
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,426,8.67
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,380,8.66
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,254,8.62
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,279,8.56
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,221,8.33
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,427,8.32
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,392,8.24
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,385,8.20
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,427,8.18
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,392,8.15
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,349,8.15
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,337,8.14
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,397,7.95
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,353,7.90
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,237,7.78
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,393,7.74
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,469,7.72
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,438,7.68
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,474,7.65
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,333,7.61
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,387,7.47
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,493,7.40
172.200.2.241,443,443,true,IAD,North America,US,Ashburn,221,7.36
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,333,7.35
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,298,7.27
4.248.47.209,8443,443,true,YUL,North America,CA,Montréal,296,7.17
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,368,7.15
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,310,7.06
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,413,6.97
