IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
129.146.220.190,443,443,true,LAX,North America,US,Los Angeles,290,6.84
143.47.247.158,443,443,true,FRA,Europe,DE,Frankfurt,221,6.83
144.24.179.38,443,443,true,FRA,Europe,DE,Frankfurt,288,6.83
141.148.243.253,443,443,true,FRA,Europe,DE,Frankfurt,269,6.82
132.145.9.68,443,443,true,FRA,Europe,DE,Frankfurt,248,6.80
130.162.245.226,443,443,true,FRA,Europe,DE,Frankfurt,184,6.80
130.162.165.173,443,443,true,FRA,Europe,DE,Frankfurt,259,6.80
130.162.166.66,443,443,true,FRA,Europe,DE,Frankfurt,332,6.78
79.76.107.191,443,443,true,FRA,Europe,DE,Frankfurt,317,6.77
143.47.190.190,443,443,true,FRA,Europe,DE,Frankfurt,298,6.77
138.3.249.65,443,443,true,FRA,Europe,DE,Frankfurt,411,6.77
84.8.146.141,443,443,true,FRA,Europe,DE,Frankfurt,350,6.75
138.2.183.52,443,443,true,FRA,Europe,DE,Frankfurt,285,6.74
158.180.37.187,443,443,true,FRA,Europe,DE,Frankfurt,189,6.71
141.144.202.24,443,443,true,CDG,Europe,FR,Paris,207,6.69
158.178.148.231,443,443,true,FRA,Europe,DE,Frankfurt,312,6.69
132.145.54.84,2053,443,true,LHR,Europe,GB,London,233,6.69
193.123.57.31,443,443,true,FRA,Europe,DE,Frankfurt,351,6.68
130.61.107.238,8443,443,true,FRA,Europe,DE,Frankfurt,219,6.68
158.180.53.120,443,443,true,FRA,Europe,DE,Frankfurt,189,6.68
141.147.92.96,443,443,true,FRA,Europe,DE,Frankfurt,320,6.67
144.21.60.43,443,443,true,FRA,Europe,DE,Frankfurt,199,6.66
158.178.145.115,443,443,true,FRA,Europe,DE,Frankfurt,348,6.66
158.101.213.129,443,443,true,FRA,Europe,DE,Frankfurt,343,6.65
143.47.236.90,443,443,true,FRA,Europe,DE,Frankfurt,217,6.65
89.168.112.118,443,443,true,FRA,Europe,DE,Frankfurt,214,6.64
84.8.150.183,443,443,true,FRA,Europe,DE,Frankfurt,294,6.63
130.162.167.126,443,443,true,CDG,Europe,FR,Paris,265,6.63
150.230.121.92,443,443,true,MUC,Europe,DE,Munich,252,6.63
79.72.74.86,443,443,true,FRA,Europe,DE,Frankfurt,221,6.63
152.67.150.228,443,443,true,FRA,Europe,DE,Frankfurt,374,6.62
138.2.177.115,443,443,true,CDG,Europe,FR,Paris,255,6.60
89.168.108.9,443,443,true,FRA,Europe,DE,Frankfurt,268,6.60
143.47.181.125,443,443,true,FRA,Europe,DE,Frankfurt,223,6.58
79.76.125.154,443,443,true,FRA,Europe,DE,Frankfurt,321,6.58
141.148.229.42,443,443,true,FRA,Europe,DE,Frankfurt,301,6.56
143.47.253.31,443,443,true,FRA,Europe,DE,Frankfurt,238,6.56
143.47.225.5,443,443,true,CDG,Europe,FR,Paris,233,6.55
138.2.162.149,443,443,true,FRA,Europe,DE,Frankfurt,317,6.54
143.47.231.28,443,443,true,FRA,Europe,DE,Frankfurt,229,6.54
130.162.183.202,443,443,true,CDG,Europe,FR,Paris,372,6.52
141.144.203.137,443,443,true,FRA,Europe,DE,Frankfurt,263,6.52
158.101.215.203,443,443,true,FRA,Europe,DE,Frankfurt,212,6.50
144.21.54.4,443,443,true,FRA,Europe,DE,Frankfurt,251,6.49
143.47.186.59,443,443,true,FRA,Europe,DE,Frankfurt,226,6.48
144.21.43.44,443,443,true,FRA,Europe,DE,Frankfurt,226,6.47
132.145.15.238,443,443,true,FRA,Europe,DE,Frankfurt,275,6.47
152.67.149.123,443,443,true,FRA,Europe,DE,Frankfurt,347,6.46
141.147.111.56,443,443,true,FRA,Europe,DE,Frankfurt,320,6.46
79.72.72.130,443,443,true,FRA,Europe,DE,Frankfurt,257,6.45
79.72.73.116,443,443,true,FRA,Europe,DE,Frankfurt,313,6.44
130.162.231.78,443,443,true,FRA,Europe,DE,Frankfurt,197,6.44
143.47.180.254,443,443,true,FRA,Europe,DE,Frankfurt,229,6.43
141.147.112.209,443,443,true,FRA,Europe,DE,Frankfurt,237,6.43
158.101.222.143,443,443,true,FRA,Europe,DE,Frankfurt,261,6.42
152.67.135.116,443,443,true,FRA,Europe,DE,Frankfurt,415,6.42
152.70.57.231,443,443,true,FRA,Europe,DE,Frankfurt,279,6.41
152.67.137.138,443,443,true,FRA,Europe,DE,Frankfurt,330,6.41
140.84.179.114,443,443,true,DFW,North America,US,Dallas,336,6.38
129.151.204.91,443,443,true,ARN,Europe,SE,Stockholm,277,6.38
132.145.66.128,443,443,true,FRA,Europe,DE,Frankfurt,299,6.36
141.144.206.39,443,443,true,FRA,Europe,DE,Frankfurt,177,6.36
141.148.228.133,443,443,true,FRA,Europe,DE,Frankfurt,335,6.35
130.162.237.176,443,443,true,FRA,Europe,DE,Frankfurt,247,6.33
141.144.247.110,443,443,true,FRA,Europe,DE,Frankfurt,200,6.33
141.147.76.25,443,443,true,CDG,Europe,FR,Paris,316,6.33
84.8.151.78,443,443,true,FRA,Europe,DE,Frankfurt,361,6.32
158.101.214.135,443,443,true,FRA,Europe,DE,Frankfurt,328,6.30
130.162.191.181,443,443,true,FRA,Europe,DE,Frankfurt,329,6.30
130.61.170.78,443,443,true,CDG,Europe,FR,Paris,305,6.30
141.144.207.205,443,443,true,FRA,Europe,DE,Frankfurt,184,6.29
130.162.232.100,443,443,true,FRA,Europe,DE,Frankfurt,226,6.27
143.47.251.40,443,443,true,FRA,Europe,DE,Frankfurt,314,6.27
141.144.255.73,443,443,true,FRA,Europe,DE,Frankfurt,172,6.26
168.138.165.174,443,443,true,SIN,Asia Pacific,SG,Singapore,51,6.25
79.72.92.29,443,443,true,FRA,Europe,DE,Frankfurt,234,6.25
143.47.255.151,443,443,true,FRA,Europe,DE,Frankfurt,277,6.23
141.147.23.80,443,443,true,FRA,Europe,DE,Frankfurt,306,6.21
130.162.177.206,443,443,true,FRA,Europe,DE,Frankfurt,511,6.18
79.72.89.211,443,443,true,FRA,Europe,DE,Frankfurt,258,6.17
143.47.184.55,443,443,true,FRA,Europe,DE,Frankfurt,282,6.17
193.123.32.187,443,443,true,FRA,Europe,DE,Frankfurt,368,6.14
144.21.43.155,443,443,true,FRA,Europe,DE,Frankfurt,270,6.13
130.162.190.200,443,443,true,FRA,Europe,DE,Frankfurt,255,6.12
158.101.222.26,443,443,true,FRA,Europe,DE,Frankfurt,238,6.10
144.21.56.80,443,443,true,FRA,Europe,DE,Frankfurt,259,5.95
144.21.51.233,443,443,true,FRA,Europe,DE,Frankfurt,256,5.93
129.154.46.115,443,443,true,HYD,Asia Pacific,IN,Hyderabad,47,5.88
141.147.109.79,443,443,true,FRA,Europe,DE,Frankfurt,353,5.86
158.179.167.73,443,443,true,ICN,Asia Pacific,KR,Seoul,163,5.84
132.226.7.217,443,443,true,NRT,Asia Pacific,JP,Tokyo,164,5.82
143.47.236.205,443,443,true,FRA,Europe,DE,Frankfurt,209,5.81
143.47.226.27,443,443,true,FRA,Europe,DE,Frankfurt,231,5.80
140.83.61.244,443,443,true,KIX,Asia Pacific,JP,Osaka,198,5.79
141.147.70.224,443,443,true,FRA,Europe,DE,Frankfurt,310,5.74
