IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.147.61.116,8443,443,true,FRA,Europe,DE,Frankfurt,286,7.98
143.47.186.59,443,443,true,FRA,Europe,DE,Frankfurt,194,7.97
130.162.217.185,443,443,true,FRA,Europe,DE,Frankfurt,228,7.96
79.76.123.253,443,443,true,FRA,Europe,DE,Frankfurt,206,7.95
164.152.26.70,2052,443,true,ORD,North America,US,Chicago,396,7.82
141.147.92.96,443,443,true,FRA,Europe,DE,Frankfurt,334,7.81
158.178.154.160,443,443,true,FRA,Europe,DE,Frankfurt,331,7.81
129.159.207.242,443,443,true,CDG,Europe,FR,Paris,212,7.79
143.47.236.205,443,443,true,FRA,Europe,DE,Frankfurt,305,7.78
158.178.149.193,443,443,true,CDG,Europe,FR,Paris,265,7.76
158.178.150.6,443,443,true,FRA,Europe,DE,Frankfurt,204,7.75
141.147.66.179,443,443,true,FRA,Europe,DE,Frankfurt,360,7.73
130.162.189.78,443,443,true,FRA,Europe,DE,Frankfurt,309,7.70
193.123.57.31,443,443,true,CDG,Europe,FR,Paris,289,7.69
158.180.24.21,443,443,true,FRA,Europe,DE,Frankfurt,161,7.69
130.162.36.186,443,443,true,DUS,Europe,DE,Düsseldorf,300,7.68
143.47.231.28,443,443,true,FRA,Europe,DE,Frankfurt,239,7.68
143.47.247.158,443,443,true,FRA,Europe,DE,Frankfurt,187,7.67
141.148.228.133,443,443,true,FRA,Europe,DE,Frankfurt,325,7.67
84.8.146.43,443,443,true,FRA,Europe,DE,Frankfurt,277,7.66
143.47.253.31,443,443,true,FRA,Europe,DE,Frankfurt,254,7.65
141.144.198.129,443,443,true,CDG,Europe,FR,Paris,303,7.63
79.72.94.208,443,443,true,FRA,Europe,DE,Frankfurt,304,7.62
130.162.237.176,443,443,true,FRA,Europe,DE,Frankfurt,290,7.59
141.144.207.205,443,443,true,FRA,Europe,DE,Frankfurt,272,7.59
158.101.214.135,443,443,true,FRA,Europe,DE,Frankfurt,269,7.58
144.24.243.207,443,443,true,MXP,Europe,IT,Milan,245,7.56
130.162.168.37,443,443,true,CDG,Europe,FR,Paris,220,7.55
143.47.179.100,443,443,true,FRA,Europe,DE,Frankfurt,191,7.53
130.162.250.180,8443,443,true,FRA,Europe,DE,Frankfurt,192,7.44
