IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
99.80.238.19,2083,80,FALSE,DUB,Europe,Dublin,247,50
15.160.252.181,2053,80,FALSE,MXP,Europe,Milan,248,50
13.237.94.188,2052,80,FALSE,SYD,Oceania,Sydney,249,50
13.49.119.167,2096,80,FALSE,ARN,Europe,Stockholm,250,50
15.160.80.28,2095,80,FALSE,MXP,Europe,Milan,251,50
15.160.15.255,2082,80,FALSE,MXP,Europe,Milan,251,50
15.161.40.69,2096,80,FALSE,MXP,Europe,Milan,251,50
15.160.15.101,2053,80,FALSE,MXP,Europe,Milan,252,50
54.150.91.84,443,443,TRUE,NRT,Asia Pacific,Tokyo,253,50
13.237.94.188,2053,80,FALSE,SYD,Oceania,Sydney,253,50
13.39.231.83,443,80,FALSE,CDG,Europe,Paris,254,50
15.161.215.18,2095,80,FALSE,MXP,Europe,Milan,254,50
13.36.24.111,2086,80,FALSE,CDG,Europe,Paris,255,50
15.160.252.181,2052,80,FALSE,MXP,Europe,Milan,255,50
15.160.19.149,2086,80,FALSE,MXP,Europe,Milan,255,50
15.160.15.255,2096,80,FALSE,MXP,Europe,Milan,255,50
15.160.15.101,2086,80,FALSE,MXP,Europe,Milan,256,50
15.160.14.66,2083,80,FALSE,MXP,Europe,Milan,258,50
15.160.252.181,2095,80,FALSE,MXP,Europe,Milan,258,50
15.161.74.249,2095,80,FALSE,MXP,Europe,Milan,259,50
13.53.47.110,2083,80,FALSE,ARN,Europe,Stockholm,261,50
15.160.250.170,2095,80,FALSE,MXP,Europe,Milan,262,50
15.161.186.110,2095,80,FALSE,MXP,Europe,Milan,263,50
13.53.47.110,2087,80,FALSE,ARN,Europe,Stockholm,263,50
13.53.47.110,2086,80,FALSE,ARN,Europe,Stockholm,263,50
99.80.238.19,2053,80,FALSE,DUB,Europe,Dublin,266,50
13.36.63.124,2053,80,FALSE,CDG,Europe,Paris,266,50
79.125.15.17,2052,80,FALSE,DUB,Europe,Dublin,266,50
54.252.91.41,2083,80,FALSE,SYD,Oceania,Sydney,268,50
13.51.138.200,2095,80,FALSE,ARN,Europe,Stockholm,273,50
13.230.34.30,80,80,FALSE,NRT,Asia Pacific,Tokyo,275,50
15.160.19.149,2052,80,FALSE,MXP,Europe,Milan,278,50
15.161.119.140,2053,80,FALSE,MXP,Europe,Milan,278,50
13.215.80.221,2082,80,FALSE,SIN,Asia Pacific,Singapore,279,50
15.161.40.69,2053,80,FALSE,MXP,Europe,Milan,280,50
99.80.238.19,2052,80,FALSE,DUB,Europe,Dublin,280,50
13.237.94.188,2082,80,FALSE,SYD,Oceania,Sydney,284,50
13.51.138.200,2083,80,FALSE,ARN,Europe,Stockholm,285,50
15.160.252.181,2083,80,FALSE,MXP,Europe,Milan,289,50
15.161.216.233,2087,80,FALSE,MXP,Europe,Milan,290,50
15.161.216.233,2096,80,FALSE,MXP,Europe,Milan,292,50
13.237.94.188,2087,80,FALSE,SYD,Oceania,Sydney,294,50
99.80.238.19,2086,80,FALSE,DUB,Europe,Dublin,297,50
15.161.215.18,2083,80,FALSE,MXP,Europe,Milan,299,50
15.160.15.255,2083,80,FALSE,MXP,Europe,Milan,303,50
13.246.85.121,2086,80,FALSE,CPT,Africa,Cape Town,305,50
13.245.152.196,2095,80,FALSE,CPT,Africa,Cape Town,305,50
13.246.85.121,2095,80,FALSE,CPT,Africa,Cape Town,305,50
13.215.80.221,2086,80,FALSE,SIN,Asia Pacific,Singapore,308,50
15.161.215.18,2096,80,FALSE,MXP,Europe,Milan,310,50
13.246.85.121,2083,80,FALSE,CPT,Africa,Cape Town,310,50
15.160.80.28,2082,80,FALSE,MXP,Europe,Milan,310,50
13.245.152.196,2096,80,FALSE,CPT,Africa,Cape Town,312,50
13.51.138.200,2053,80,FALSE,ARN,Europe,Stockholm,312,50
15.160.14.66,2096,80,FALSE,MXP,Europe,Milan,312,50
13.245.152.196,2086,80,FALSE,CPT,Africa,Cape Town,313,50
15.161.216.233,2083,80,FALSE,MXP,Europe,Milan,318,50
13.246.85.121,2096,80,FALSE,CPT,Africa,Cape Town,320,50
13.245.152.196,2082,80,FALSE,CPT,Africa,Cape Town,321,50
13.245.152.196,2053,80,FALSE,CPT,Africa,Cape Town,321,50
13.246.85.121,2052,80,FALSE,CPT,Africa,Cape Town,323,50
15.161.216.233,2052,80,FALSE,MXP,Europe,Milan,325,50
13.237.94.188,2083,80,FALSE,SYD,Oceania,Sydney,327,50
13.51.138.200,2082,80,FALSE,ARN,Europe,Stockholm,330,50
15.160.15.101,2052,80,FALSE,MXP,Europe,Milan,331,50
15.160.15.255,2052,80,FALSE,MXP,Europe,Milan,333,50
54.207.253.122,2095,80,FALSE,GRU,South America,São Paulo,334,50
54.207.211.29,2086,80,FALSE,GRU,South America,São Paulo,342,50
13.237.94.188,2086,80,FALSE,SYD,Oceania,Sydney,343,50
15.161.215.18,2087,80,FALSE,MXP,Europe,Milan,348,50
54.94.181.99,2087,80,FALSE,GRU,South America,São Paulo,350,50
15.161.216.233,2086,80,FALSE,MXP,Europe,Milan,354,50
54.207.211.29,2087,80,FALSE,GRU,South America,São Paulo,354,50
54.207.253.122,2087,80,FALSE,GRU,South America,São Paulo,355,50
54.207.211.29,2096,80,FALSE,GRU,South America,São Paulo,359,50
51.20.111.244,2096,443,TRUE,AMS,Europe,Amsterdam,363,50
54.216.40.130,8443,443,TRUE,DUB,Europe,Dublin,364,50
13.53.47.110,2053,80,FALSE,ARN,Europe,Stockholm,368,50
54.207.253.122,2083,80,FALSE,GRU,South America,São Paulo,372,50
13.246.85.121,2082,80,FALSE,CPT,Africa,Cape Town,375,50
13.38.90.33,443,443,TRUE,AMS,Europe,Amsterdam,388,50
13.246.85.121,2087,80,FALSE,CPT,Africa,Cape Town,390,50
15.161.216.233,2082,80,FALSE,MXP,Europe,Milan,390,50
54.251.118.130,2087,80,FALSE,SIN,Asia Pacific,Singapore,390,50
13.246.85.121,2053,80,FALSE,CPT,Africa,Cape Town,404,50
54.207.234.93,80,80,FALSE,GRU,South America,São Paulo,415,50
15.161.215.18,2082,80,FALSE,MXP,Europe,Milan,420,50
15.161.216.233,2095,80,FALSE,MXP,Europe,Milan,421,50
