IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,233,10.74
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,220,10.60
20.14.73.143,2053,8443,true,LAX,North America,US,Los Angeles,333,9.98
74.249.233.213,443,443,true,ORD,North America,US,Chicago,206,9.69
13.67.136.12,443,443,true,ORD,North America,US,Chicago,475,9.68
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,352,9.54
20.221.32.145,443,443,true,ORD,North America,US,Chicago,255,9.15
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,289,8.89
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,458,8.88
158.23.168.120,443,443,true,DFW,North America,US,Dallas,292,8.87
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,330,8.53
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,357,8.40
172.191.74.198,443,443,true,IAD,North America,US,Ashburn,384,8.37
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,312,8.35
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,526,8.33
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,416,8.32
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,262,8.25
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,460,8.19
52.149.136.203,443,443,true,IAD,North America,US,Ashburn,353,8.17
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,655,8.17
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,377,8.13
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,400,8.12
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,508,8.03
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,391,8.01
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,478,7.93
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,394,7.88
20.185.45.204,443,443,true,IAD,North America,US,Ashburn,393,7.87
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,266,7.81
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,388,7.76
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,543,7.66
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,251,7.65
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,278,7.55
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,350,7.52
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,322,7.47
130.0.239.147,8443,443,true,KBP,Europe,UA,Kyiv,193,7.36
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,292,7.27
4.248.47.209,8443,443,true,YUL,North America,CA,Montréal,402,7.21
130.0.239.147,2053,443,true,KBP,Europe,UA,Kyiv,216,7.20
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,501,7.16
