IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
144.21.63.100,443,443,true,FRA,Europe,DE,Frankfurt,230,8.91
132.226.128.112,443,443,true,FRA,Europe,DE,Frankfurt,345,8.90
79.72.66.196,443,443,true,FRA,Europe,DE,Frankfurt,208,8.90
141.147.70.227,443,443,true,FRA,Europe,DE,Frankfurt,323,8.89
193.123.61.25,443,443,true,FRA,Europe,DE,Frankfurt,362,8.85
141.144.243.104,443,443,true,FRA,Europe,DE,Frankfurt,174,8.85
79.72.87.134,443,443,true,FRA,Europe,DE,Frankfurt,226,8.84
141.147.119.251,443,443,true,FRA,Europe,DE,Frankfurt,245,8.84
138.3.248.105,443,443,true,FRA,Europe,DE,Frankfurt,318,8.81
141.144.202.197,443,443,true,FRA,Europe,DE,Frankfurt,277,8.81
132.226.198.6,443,443,true,FRA,Europe,DE,Frankfurt,250,8.77
129.159.246.155,443,443,true,FRA,Europe,DE,Frankfurt,200,8.71
89.168.118.211,443,443,true,FRA,Europe,DE,Frankfurt,299,8.71
89.168.105.131,443,443,true,FRA,Europe,DE,Frankfurt,272,8.70
141.144.201.96,443,443,true,FRA,Europe,DE,Frankfurt,268,8.65
138.2.128.234,443,443,true,FRA,Europe,DE,Frankfurt,319,8.63
141.147.68.227,443,443,true,FRA,Europe,DE,Frankfurt,306,8.63
141.147.5.154,443,443,true,FRA,Europe,DE,Frankfurt,198,8.62
138.2.129.172,443,443,true,FRA,Europe,DE,Frankfurt,319,8.58
138.3.251.77,443,443,true,FRA,Europe,DE,Frankfurt,257,8.54
193.123.60.193,443,443,true,FRA,Europe,DE,Frankfurt,334,8.52
144.21.52.7,443,443,true,FRA,Europe,DE,Frankfurt,216,8.51
130.162.50.55,443,443,true,FRA,Europe,DE,Frankfurt,263,8.48
140.238.122.58,443,443,true,FRA,Europe,DE,Frankfurt,311,8.47
129.159.254.72,443,443,true,FRA,Europe,DE,Frankfurt,226,8.47
79.72.78.120,443,443,true,FRA,Europe,DE,Frankfurt,188,8.46
141.147.64.36,443,443,true,FRA,Europe,DE,Frankfurt,231,8.45
79.72.90.164,443,443,true,FRA,Europe,DE,Frankfurt,213,8.43
138.2.164.78,443,443,true,FRA,Europe,DE,Frankfurt,354,8.41
138.2.141.183,443,443,true,FRA,Europe,DE,Frankfurt,362,8.40
150.230.126.2,443,443,true,DUS,Europe,DE,Düsseldorf,205,8.36
138.2.163.83,443,443,true,FRA,Europe,DE,Frankfurt,341,8.36
152.70.61.225,443,443,true,FRA,Europe,DE,Frankfurt,413,8.35
79.76.120.49,443,443,true,FRA,Europe,DE,Frankfurt,336,8.34
129.159.220.51,443,443,true,SJC,North America,US,San Jose,340,8.33
141.144.224.76,443,443,true,FRA,Europe,DE,Frankfurt,179,8.27
144.24.188.128,443,443,true,FRA,Europe,DE,Frankfurt,288,8.26
150.230.34.116,443,443,true,SJC,North America,US,San Jose,207,8.26
143.47.230.219,443,443,true,FRA,Europe,DE,Frankfurt,221,8.21
158.101.208.214,443,443,true,FRA,Europe,DE,Frankfurt,293,8.19
143.47.177.51,443,443,true,FRA,Europe,DE,Frankfurt,286,8.18
152.70.30.41,443,443,true,FRA,Europe,DE,Frankfurt,261,8.17
129.146.133.33,443,443,true,LAX,North America,US,Los Angeles,290,8.14
144.24.172.189,443,443,true,FRA,Europe,DE,Frankfurt,323,8.10
141.148.231.132,443,443,true,FRA,Europe,DE,Frankfurt,289,8.07
141.144.198.24,443,443,true,FRA,Europe,DE,Frankfurt,228,8.07
143.47.243.144,8443,443,true,LHR,Europe,GB,London,330,7.98
141.147.110.45,443,443,true,FRA,Europe,DE,Frankfurt,328,7.92
130.162.166.245,443,443,true,FRA,Europe,DE,Frankfurt,233,7.89
158.180.47.232,443,443,true,FRA,Europe,DE,Frankfurt,322,7.88
79.72.93.33,443,443,true,FRA,Europe,DE,Frankfurt,213,7.86
132.226.195.106,443,443,true,FRA,Europe,DE,Frankfurt,231,7.85
141.147.109.26,443,443,true,FRA,Europe,DE,Frankfurt,199,7.82
