IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.144.201.96,443,443,true,FRA,Europe,DE,Frankfurt,273,9.35
143.47.226.5,443,443,true,FRA,Europe,DE,Frankfurt,376,9.35
152.70.49.208,443,443,true,FRA,Europe,DE,Frankfurt,254,9.32
130.162.176.219,443,443,true,FRA,Europe,DE,Frankfurt,268,9.31
158.101.218.25,443,443,true,ATL,North America,US,Atlanta,277,9.30
152.70.123.225,8443,443,true,SJC,North America,US,San Jose,224,9.28
141.147.15.66,443,443,true,FRA,Europe,DE,Frankfurt,246,9.28
141.147.98.146,443,443,true,AMS,Europe,NL,Amsterdam,188,9.24
158.180.16.191,443,443,true,FRA,Europe,DE,Frankfurt,276,9.19
79.76.120.94,443,443,true,FRA,Europe,DE,Frankfurt,391,9.19
158.101.219.240,443,443,true,FRA,Europe,DE,Frankfurt,319,9.18
89.168.94.162,443,443,true,FRA,Europe,DE,Frankfurt,226,9.17
130.162.39.121,443,443,true,FRA,Europe,DE,Frankfurt,199,9.16
144.21.33.132,443,443,true,FRA,Europe,DE,Frankfurt,273,9.14
143.47.177.51,443,443,true,FRA,Europe,DE,Frankfurt,329,9.13
144.21.52.242,443,443,true,FRA,Europe,DE,Frankfurt,176,9.13
192.9.158.188,443,443,true,SJC,North America,US,San Jose,310,9.12
141.147.106.221,443,443,true,FRA,Europe,DE,Frankfurt,180,9.11
152.70.57.35,443,443,true,FRA,Europe,DE,Frankfurt,285,9.03
158.101.214.96,443,443,true,FRA,Europe,DE,Frankfurt,286,9.01
89.168.72.123,443,443,true,FRA,Europe,DE,Frankfurt,209,8.97
84.235.173.42,443,443,true,FRA,Europe,DE,Frankfurt,358,8.95
158.180.47.6,443,443,true,FRA,Europe,DE,Frankfurt,195,8.95
89.168.81.18,443,443,true,FRA,Europe,DE,Frankfurt,250,8.94
144.21.36.229,443,443,true,FRA,Europe,DE,Frankfurt,186,8.90
141.147.119.251,443,443,true,FRA,Europe,DE,Frankfurt,213,8.88
143.47.230.219,443,443,true,FRA,Europe,DE,Frankfurt,433,8.88
143.47.184.208,443,443,true,CDG,Europe,FR,Paris,256,8.83
84.8.148.0,443,443,true,CDG,Europe,FR,Paris,368,8.80
192.9.138.241,443,443,true,SJC,North America,US,San Jose,386,8.78
79.72.90.164,443,443,true,FRA,Europe,DE,Frankfurt,229,8.77
143.47.181.167,443,443,true,FRA,Europe,DE,Frankfurt,292,8.75
150.230.115.53,443,443,true,FRA,Europe,DE,Frankfurt,320,8.73
141.144.195.164,443,443,true,FRA,Europe,DE,Frankfurt,231,8.73
130.162.185.94,443,443,true,FRA,Europe,DE,Frankfurt,300,8.72
141.144.201.175,443,443,true,FRA,Europe,DE,Frankfurt,191,8.70
141.144.225.15,443,443,true,FRA,Europe,DE,Frankfurt,189,8.68
141.147.119.239,443,443,true,FRA,Europe,DE,Frankfurt,173,8.68
129.159.15.24,443,443,true,FRA,Europe,DE,Frankfurt,240,8.62
141.148.231.132,443,443,true,FRA,Europe,DE,Frankfurt,323,8.60
141.145.205.115,8443,8443,true,CDG,Europe,FR,Paris,265,8.60
152.70.61.225,443,443,true,FRA,Europe,DE,Frankfurt,276,8.57
84.8.157.125,443,443,true,FRA,Europe,DE,Frankfurt,188,8.57
129.159.255.100,443,443,true,FRA,Europe,DE,Frankfurt,171,8.53
141.147.14.25,443,443,true,CDG,Europe,FR,Paris,303,8.52
192.9.137.193,8443,443,true,SJC,North America,US,San Jose,181,8.48
129.146.133.33,443,443,true,LAX,North America,US,Los Angeles,197,8.46
141.148.244.205,443,443,true,FRA,Europe,DE,Frankfurt,311,8.46
158.180.33.68,443,443,true,FRA,Europe,DE,Frankfurt,185,8.45
79.72.78.120,443,443,true,FRA,Europe,DE,Frankfurt,231,8.45
130.61.129.93,443,443,true,FRA,Europe,DE,Frankfurt,254,8.43
165.1.79.60,8443,443,true,SJC,North America,US,San Jose,206,8.42
79.72.93.33,443,443,true,FRA,Europe,DE,Frankfurt,257,8.41
141.147.8.115,443,443,true,KIX,Asia Pacific,JP,Osaka,335,8.39
150.230.126.2,443,443,true,FRA,Europe,DE,Frankfurt,205,8.38
143.47.230.0,443,443,true,FRA,Europe,DE,Frankfurt,307,8.37
130.61.107.238,8443,443,true,FRA,Europe,DE,Frankfurt,258,8.36
130.162.164.249,443,443,true,FRA,Europe,DE,Frankfurt,213,8.25
141.147.68.227,443,443,true,FRA,Europe,DE,Frankfurt,280,8.22
138.2.141.183,443,443,true,FRA,Europe,DE,Frankfurt,237,8.22
141.147.109.26,443,443,true,FRA,Europe,DE,Frankfurt,196,8.22
141.148.230.216,443,443,true,FRA,Europe,DE,Frankfurt,224,8.20
138.2.190.160,443,443,true,FRA,Europe,DE,Frankfurt,420,8.19
129.159.254.72,443,443,true,FRA,Europe,DE,Frankfurt,167,8.13
138.3.253.35,443,443,true,FRA,Europe,DE,Frankfurt,240,8.12
84.235.174.238,443,443,true,FRA,Europe,DE,Frankfurt,279,8.11
130.162.177.178,443,443,true,FRA,Europe,DE,Frankfurt,257,8.10
141.147.87.255,443,443,true,FRA,Europe,DE,Frankfurt,208,8.10
158.180.47.232,443,443,true,FRA,Europe,DE,Frankfurt,199,8.09
138.2.178.68,443,443,true,FRA,Europe,DE,Frankfurt,311,8.07
