IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.91.225.232,8443,443,true,ARN,Europe,SE,Stockholm,439,11.09
20.169.80.29,443,443,true,LAX,North America,US,Los Angeles,173,11.04
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,196,10.73
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,320,10.35
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,395,9.71
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,390,9.66
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,458,9.54
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,447,9.36
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,325,9.30
74.249.233.213,443,443,true,ORD,North America,US,Chicago,279,9.11
20.221.32.145,443,443,true,ORD,North America,US,Chicago,339,9.06
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,287,8.85
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,455,8.79
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,480,8.79
4.255.56.138,443,443,true,IAD,North America,US,Ashburn,442,8.76
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,342,8.35
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,235,8.30
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,279,8.30
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,497,8.21
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,363,8.18
52.149.136.203,443,443,true,IAD,North America,US,Ashburn,363,8.16
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,313,8.16
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,324,8.16
20.185.45.204,443,443,true,IAD,North America,US,Ashburn,343,8.10
130.0.239.147,2053,443,true,KBP,Europe,UA,Kyiv,279,8.02
40.123.47.252,8443,443,true,IAD,North America,US,Ashburn,386,8.01
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,341,7.98
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,484,7.94
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,449,7.90
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,436,7.85
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,334,7.85
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,424,7.75
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,307,7.74
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,280,7.64
