IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
129.159.248.131,443,443,true,FRA,Europe,DE,Frankfurt,167,6.87
89.168.110.25,443,443,true,FRA,Europe,DE,Frankfurt,259,6.86
89.168.99.18,443,443,true,FRA,Europe,DE,Frankfurt,221,6.86
141.144.225.42,443,443,true,FRA,Europe,DE,Frankfurt,228,6.86
158.178.153.228,443,443,true,FRA,Europe,DE,Frankfurt,276,6.85
144.21.43.120,443,443,true,FRA,Europe,DE,Frankfurt,213,6.83
144.24.186.83,443,443,true,FRA,Europe,DE,Frankfurt,315,6.82
144.21.38.195,443,443,true,FRA,Europe,DE,Frankfurt,264,6.82
141.144.246.38,443,443,true,FRA,Europe,DE,Frankfurt,203,6.81
84.8.146.225,443,443,true,FRA,Europe,DE,Frankfurt,345,6.81
132.226.128.112,443,443,true,FRA,Europe,DE,Frankfurt,244,6.79
141.147.8.115,443,443,true,FRA,Europe,DE,Frankfurt,286,6.78
141.147.74.85,443,443,true,FRA,Europe,DE,Frankfurt,159,6.78
152.70.41.242,443,443,true,FRA,Europe,DE,Frankfurt,262,6.77
84.235.163.117,443,443,true,FRA,Europe,DE,Frankfurt,235,6.77
79.76.105.185,443,443,true,FRA,Europe,DE,Frankfurt,250,6.75
141.147.98.125,443,443,true,FRA,Europe,DE,Frankfurt,285,6.74
152.70.61.225,443,443,true,FRA,Europe,DE,Frankfurt,242,6.74
141.147.41.110,443,443,true,FRA,Europe,DE,Frankfurt,267,6.73
141.147.87.252,443,443,true,FRA,Europe,DE,Frankfurt,251,6.72
89.168.102.102,443,443,true,FRA,Europe,DE,Frankfurt,207,6.71
152.70.57.35,443,443,true,FRA,Europe,DE,Frankfurt,247,6.71
158.180.16.191,443,443,true,FRA,Europe,DE,Frankfurt,276,6.70
84.8.159.57,443,443,true,FRA,Europe,DE,Frankfurt,279,6.70
152.70.41.132,443,443,true,FRA,Europe,DE,Frankfurt,330,6.69
152.70.49.208,443,443,true,FRA,Europe,DE,Frankfurt,357,6.69
140.238.214.247,443,443,true,MXP,Europe,IT,Milan,151,6.66
84.8.157.10,443,443,true,FRA,Europe,DE,Frankfurt,381,6.65
68.233.127.163,8443,443,true,YUL,North America,CA,Montréal,308,6.65
158.101.207.62,443,443,true,FRA,Europe,DE,Frankfurt,288,6.64
143.47.183.8,443,443,true,FRA,Europe,DE,Frankfurt,307,6.63
141.144.201.175,443,443,true,FRA,Europe,DE,Frankfurt,246,6.62
141.144.249.156,443,443,true,FRA,Europe,DE,Frankfurt,210,6.61
141.147.117.122,443,443,true,FRA,Europe,DE,Frankfurt,257,6.60
141.148.226.60,443,443,true,FRA,Europe,DE,Frankfurt,285,6.60
144.21.52.7,443,443,true,FRA,Europe,DE,Frankfurt,216,6.59
79.76.120.49,443,443,true,YYZ,North America,CA,Toronto,202,6.59
141.147.71.177,443,443,true,FRA,Europe,DE,Frankfurt,289,6.59
138.2.148.65,443,443,true,FRA,Europe,DE,Frankfurt,380,6.57
141.147.119.239,443,443,true,FRA,Europe,DE,Frankfurt,195,6.57
158.180.53.172,443,443,true,FRA,Europe,DE,Frankfurt,348,6.56
152.70.62.82,443,443,true,FRA,Europe,DE,Frankfurt,368,6.55
158.101.204.139,443,443,true,FRA,Europe,DE,Frankfurt,247,6.55
138.2.168.220,443,443,true,FRA,Europe,DE,Frankfurt,271,6.54
89.168.72.123,443,443,true,FRA,Europe,DE,Frankfurt,231,6.53
158.180.60.224,443,443,true,FRA,Europe,DE,Frankfurt,225,6.53
141.147.11.233,443,443,true,FRA,Europe,DE,Frankfurt,303,6.52
144.21.33.132,443,443,true,FRA,Europe,DE,Frankfurt,225,6.50
130.162.165.144,443,443,true,FRA,Europe,DE,Frankfurt,319,6.50
79.76.106.120,443,443,true,FRA,Europe,DE,Frankfurt,297,6.50
84.235.173.42,443,443,true,MUC,Europe,DE,Munich,267,6.46
84.235.175.237,443,443,true,FRA,Europe,DE,Frankfurt,254,6.46
158.101.205.1,443,443,true,FRA,Europe,DE,Frankfurt,280,6.44
141.147.51.46,443,443,true,FRA,Europe,DE,Frankfurt,230,6.43
140.238.95.229,443,443,true,FRA,Europe,DE,Frankfurt,415,6.41
158.180.35.59,443,443,true,FRA,Europe,DE,Frankfurt,278,6.40
132.145.54.84,8443,443,true,LHR,Europe,GB,London,353,6.40
79.72.92.175,443,443,true,FRA,Europe,DE,Frankfurt,265,6.39
158.180.47.232,443,443,true,FRA,Europe,DE,Frankfurt,290,6.38
144.21.54.249,443,443,true,FRA,Europe,DE,Frankfurt,291,6.37
129.151.198.3,2053,443,true,ARN,Europe,SE,Stockholm,295,6.35
144.21.34.245,443,443,true,FRA,Europe,DE,Frankfurt,271,6.26
130.162.177.141,443,443,true,FRA,Europe,DE,Frankfurt,543,6.25
130.61.170.78,443,443,true,FRA,Europe,DE,Frankfurt,252,6.19
144.21.63.50,443,443,true,FRA,Europe,DE,Frankfurt,251,6.18
144.21.38.153,443,443,true,FRA,Europe,DE,Frankfurt,234,6.17
141.148.244.205,443,443,true,FRA,Europe,DE,Frankfurt,239,6.15
138.2.133.136,443,443,true,FRA,Europe,DE,Frankfurt,373,6.14
158.180.48.210,443,443,true,FRA,Europe,DE,Frankfurt,352,6.13
79.72.93.33,443,443,true,FRA,Europe,DE,Frankfurt,248,6.06
89.168.65.251,443,443,true,FRA,Europe,DE,Frankfurt,257,6.06
150.230.112.123,443,443,true,FRA,Europe,DE,Frankfurt,297,6.04
79.72.87.134,443,443,true,FRA,Europe,DE,Frankfurt,247,6.04
130.61.107.238,8443,443,true,FRA,Europe,DE,Frankfurt,268,6.03
143.47.227.245,443,443,true,FRA,Europe,DE,Frankfurt,311,6.02
132.226.213.244,443,443,true,FRA,Europe,DE,Frankfurt,177,6.01
138.2.129.172,443,443,true,FRA,Europe,DE,Frankfurt,383,5.97
130.162.223.112,443,443,true,FRA,Europe,DE,Frankfurt,264,5.96
150.230.112.102,443,443,true,FRA,Europe,DE,Frankfurt,245,5.95
130.162.188.48,443,443,true,FRA,Europe,DE,Frankfurt,268,5.93
84.235.174.238,443,443,true,FRA,Europe,DE,Frankfurt,328,5.92
130.162.180.99,443,443,true,FRA,Europe,DE,Frankfurt,281,5.91
130.162.176.225,443,443,true,FRA,Europe,DE,Frankfurt,318,5.90
217.142.128.252,443,443,true,ICN,Asia Pacific,KR,Seoul,230,5.88
141.147.94.152,443,443,true,FRA,Europe,DE,Frankfurt,269,5.86
130.162.164.202,443,443,true,FRA,Europe,DE,Frankfurt,317,5.85
130.162.176.219,443,443,true,FRA,Europe,DE,Frankfurt,286,5.85
132.226.7.217,443,443,true,NRT,Asia Pacific,JP,Tokyo,152,5.83
158.101.201.75,443,443,true,FRA,Europe,DE,Frankfurt,241,5.83
79.72.65.146,443,443,true,FRA,Europe,DE,Frankfurt,306,5.82
40.233.70.7,8443,443,true,YYZ,North America,CA,Toronto,463,5.82
138.2.51.87,443,443,true,KIX,Asia Pacific,JP,Osaka,182,5.81
79.76.108.182,443,443,true,FRA,Europe,DE,Frankfurt,272,5.80
158.179.207.182,8443,443,true,ARN,Europe,SE,Stockholm,278,5.80
79.72.85.228,443,443,true,FRA,Europe,DE,Frankfurt,248,5.78
143.47.181.167,443,443,true,FRA,Europe,DE,Frankfurt,201,5.77
130.162.165.225,443,443,true,FRA,Europe,DE,Frankfurt,379,5.77
